Trial,Temp,Sugar,Stirring,Time_to_Dissolve
1,hot,white,yes,21.46
2,cold,white,yes,103.42
3,cold,white,no,1341.90
4,hot,white,no,427.65
5,hot,white,no,433.01
6,hot,white,yes,24.13
7,cold,white,yes,88.68
8,cold,brown,yes,77.01
9,cold,brown,no,1228.91
10,hot,brown,yes,18.71
11,hot,brown,yes,19.92
12,cold,white,yes,84.01
13,cold,white,no,1450.16
14,hot,brown,no,460.91
15,cold,brown,yes,73.23
16,hot,white,yes,21.36
17,hot,brown,yes,18.90
18,hot,brown,no,467.51
19,cold,brown,no,1240.56
20,hot,white,no,408.07
21,cold,white,no,1093.87
22,cold,brown,yes,76.63
23,hot,brown,no,490.71
24,cold,brown,no,1235.48